	Series_reference	Period	Data_value	STATUS	UNITS	Subject	Group	Series_title_1
119	CPIM.SAP0100	2016.05	4.0	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
120	CPIM.SAP0100	2016.06	3.65	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
121	CPIM.SAP0100	2016.07	3.07	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
122	CPIM.SAP0100	2016.08	2.76	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
123	CPIM.SAP0100	2016.09	2.56	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
124	CPIM.SAP0100	2016.1	2.81	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
125	CPIM.SAP0100	2016.11	2.91	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
126	CPIM.SAP0100	2016.12	3.47	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
127	CPIM.SAP0100	2017.01	3.71	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
128	CPIM.SAP0100	2017.02	3.78	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
129	CPIM.SAP0100	2017.03	3.64	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
130	CPIM.SAP0100	2017.04	3.65	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
131	CPIM.SAP0100	2017.05	3.98	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
132	CPIM.SAP0100	2017.06	4.04	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
133	CPIM.SAP0100	2017.07	3.59	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
134	CPIM.SAP0100	2017.08	3.42	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
135	CPIM.SAP0100	2017.09	2.93	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
136	CPIM.SAP0100	2017.1	2.83	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
137	CPIM.SAP0100	2017.11	2.77	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
138	CPIM.SAP0100	2017.12	3.71	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
139	CPIM.SAP0100	2018.01	4.12	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
140	CPIM.SAP0100	2018.02	4.21	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
141	CPIM.SAP0100	2018.03	4.27	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Oranges, 1kg
142	CPIM.SAP0101	2006.06	1.66	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
143	CPIM.SAP0101	2006.07	1.59	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
144	CPIM.SAP0101	2006.08	1.83	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
145	CPIM.SAP0101	2006.09	2.32	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
146	CPIM.SAP0101	2006.1	2.48	FINAL	Dollars	Consumers Price Index - CPI	Food Price Index Selected Monthly Weighted Average Prices for New Zealand	Bananas, 1kg
